id_radar,local,bairro,cameras
180221111,ESTRADA DO RIO GRANDE PROXIMO AO Nº 4306 - SENTIDO PAU DA FOME - FX 1,JACAREPAGUA,"[""2466 (BOI\u00daNA - BRT - FIXA) - 1161.54m"", ""2449 (BOI\u00daNA - BRT - FIXA) - 1182.80m"", ""2447 (BOI\u00daNA - BRT - FIXA) - 1190.41m"", ""2448 (BOI\u00daNA - BRT - FIXA) - 1193.43m"", ""2465 (OUTEIRO SANTO - BRT -  FIXA) - 1595.43m""]"
180231121,ESTRADA DO RIO GRANDE PROXIMO AO Nº 4306 - SENTIDO TANQUE - FX 1,JACAREPAGUA,"[""2466 (BOI\u00daNA - BRT - FIXA) - 1161.54m"", ""2449 (BOI\u00daNA - BRT - FIXA) - 1182.80m"", ""2447 (BOI\u00daNA - BRT - FIXA) - 1190.41m"", ""2448 (BOI\u00daNA - BRT - FIXA) - 1193.43m"", ""2465 (OUTEIRO SANTO - BRT -  FIXA) - 1595.43m""]"
180241111,ESTRADA RIO-SAO PAULO PROXIMO AO Nº 1278 - SENTIDO SENADOR VASCONCELOS - FX 1,CAMPO GRANDE,"[""1944 (ESTRADA RIO S\u00c3O PAULO 1456 - FIXA) - 121.90m"", ""1914 (ESTRADA RIO S\u00c3O PAULO, 1115 - FIXA) - 179.63m"", ""1915 (ESTRADA RIO S\u00c3O PAULO - FIXA) - 268.52m"", ""1916 (ESTRADA RIO S\u00c3O PAULO 883 - FIXA) - 382.99m"", ""1905 (ROD. LUIZ HENRIQUE REZENDE NOVAES , 1674 - FIXA) - 399.34m""]"
180251121,ESTRADA RIO-SAO PAULO PROXIMO AO Nº 1278 - SENTIDO SEROPEDICA - FX 1,CAMPO GRANDE,"[""1944 (ESTRADA RIO S\u00c3O PAULO 1456 - FIXA) - 121.90m"", ""1914 (ESTRADA RIO S\u00c3O PAULO, 1115 - FIXA) - 179.63m"", ""1915 (ESTRADA RIO S\u00c3O PAULO - FIXA) - 268.52m"", ""1916 (ESTRADA RIO S\u00c3O PAULO 883 - FIXA) - 382.99m"", ""1905 (ROD. LUIZ HENRIQUE REZENDE NOVAES , 1674 - FIXA) - 399.34m""]"
180261111,RUA LUCINDO PASSOS PROXIMO AO Nº 35 - SENTIDO RUA FELIPE CARDOSO - FX 1,SANTA CRUZ,"[""3491 (R. DO CRUZEIRO, 10 - FIXA) - 54.90m"", ""3492 (R. TERESA CRISTINA, 98 - FIXA) - 124.26m"", ""589 (R. FELIPE CARDOSO X AV. ISABEL) - 138.51m"", ""3494 (R. TERESA CRISTINA, 62) - 232.81m"", ""2460 (SANTA CRUZ - BRT - FIXA) - 235.04m""]"
180261112,RUA LUCINDO PASSOS PROXIMO AO Nº 35 - SENTIDO RUA FELIPE CARDOSO - FX 2,SANTA CRUZ,"[""3491 (R. DO CRUZEIRO, 10 - FIXA) - 54.90m"", ""3492 (R. TERESA CRISTINA, 98 - FIXA) - 124.26m"", ""589 (R. FELIPE CARDOSO X AV. ISABEL) - 138.51m"", ""3494 (R. TERESA CRISTINA, 62) - 232.81m"", ""2460 (SANTA CRUZ - BRT - FIXA) - 235.04m""]"
180271111,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 742 - SENTIDO TUNEL REBOUCAS - FX 1,RIO COMPRIDO,"[""214 (R. SANTA ALEXANDRINA X R. DA ESTRELA) - 616.91m"", ""1530 (R. HADDOCK LOBO 282 - FIXA) - 1359.29m"", ""1531 (R. HADDOCK LOBO 282 - FIXA) - 1374.41m"", ""341 (R. HADDOCK LOBO X R. ENGENHEIRO ADEL) - 1381.87m"", ""201 (R. HADDOCK LOBO X AV. PAULO DE FRONTIN) - 1506.02m""]"
180271112,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 742 - SENTIDO TUNEL REBOUCAS - FX 2,RIO COMPRIDO,"[""214 (R. SANTA ALEXANDRINA X R. DA ESTRELA) - 616.91m"", ""1530 (R. HADDOCK LOBO 282 - FIXA) - 1359.29m"", ""1531 (R. HADDOCK LOBO 282 - FIXA) - 1374.41m"", ""341 (R. HADDOCK LOBO X R. ENGENHEIRO ADEL) - 1381.87m"", ""201 (R. HADDOCK LOBO X AV. PAULO DE FRONTIN) - 1506.02m""]"
180281111,ESTRADA DO PRE PROXIMO AO Nº 1079 - SENTIDO AVENIDA DE SANTA CRUZ - FX 1,SENADOR VASCONCELOS,"[""3812 (R. PRAC. EL\u00edDIO MARTINS, 451 - FIXA) - 910.23m"", ""4042 (R. ARTUR RIOS, 50 - FIXA) - 916.80m"", ""3810 (AV. CES\u00e1RIO DE MELO, 776 - FIXA) - 919.63m"", ""4041 (R. ARTUR RIOS, 50 - FIXA) - 932.48m"", ""3811 (AV. CES\u00e1RIO DE MELO, 677 - FIXA) - 936.51m""]"
180291121,ESTRADA DO PRE PROXIMO AO Nº 1079 - SENTIDO ESTRADA DO CABUCU - FX 1,SENADOR VASCONCELOS,"[""3812 (R. PRAC. EL\u00edDIO MARTINS, 451 - FIXA) - 910.23m"", ""4042 (R. ARTUR RIOS, 50 - FIXA) - 916.80m"", ""3810 (AV. CES\u00e1RIO DE MELO, 776 - FIXA) - 919.63m"", ""4041 (R. ARTUR RIOS, 50 - FIXA) - 932.48m"", ""3811 (AV. CES\u00e1RIO DE MELO, 677 - FIXA) - 936.51m""]"
