camera_numero,bairro,locequip,latitude,longitude
190201111,LAGOA,AVENIDA EPITACIO PESSOA PROXIMO AO Nº 3666 - SENTIDO PRAIA - FX 1,-22.9734210008,-43.2079550006
190201112,LAGOA,AVENIDA EPITACIO PESSOA PROXIMO AO Nº 3666 - SENTIDO PRAIA - FX 2,-22.9734210008,-43.2079550006
190211111,GALEAO,AVENIDA 20 DE JANEIRO PROXIMO AO POSTO BR - SENTIDO AEROPORTO - FX 1,-22.8168892458,-43.2397179056
190211112,GALEAO,AVENIDA 20 DE JANEIRO PROXIMO AO POSTO BR - SENTIDO AEROPORTO - FX 2,-22.8168892458,-43.2397179056
190221121,LAGOA,AVENIDA BORGES DE MEDEIROS PROXIMO AO JOQUEI - SENTIDO PRAIA - FX 1,-22.9732354567,-43.2179682073
190221122,LAGOA,AVENIDA BORGES DE MEDEIROS PROXIMO AO JOQUEI - SENTIDO PRAIA - FX 2,-22.9732354567,-43.2179682073
190231111,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 2678 - SENTIDO SANTA CRUZ - FX 1 PISTA LATERAL,-23.0006489295,-43.3377283679
190231112,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 2678 - SENTIDO SANTA CRUZ - FX 2 PISTA LATERAL,-23.0006489295,-43.3377283679
190231113,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 2678 - SENTIDO SANTA CRUZ - FX 3 PISTA LATERAL,-23.0006489295,-43.3377283679
190231121,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 2678 - SENTIDO SAO CONRADO - FX 1 PISTA LATERAL,-23.0001761193,-43.3374311509
190231122,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 2678 - SENTIDO SAO CONRADO - FX 2 PISTA LATERAL,-23.0001761193,-43.3374311509
190231123,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 2678 - SENTIDO SAO CONRADO - FX 3 PISTA LATERAL,-23.0001761193,-43.3374311509
190241111,VILA DA PENHA,AVENIDA BRAZ DE PINA PROXIMO AO Nº 1345 - SENTIDO OLARIA - FX 1,-22.8405329016,-43.3066935196
190241112,VILA DA PENHA,AVENIDA BRAZ DE PINA PROXIMO AO Nº 1345 - SENTIDO OLARIA - FX 2,-22.8405329016,-43.3066935196
190241121,VILA DA PENHA,AVENIDA BRAZ DE PINA PROXIMO AO Nº 1345 - SENTIDO ESTRADA DA AGUA GRANDE - FX 1,-22.8404343733,-43.3065957457
190241122,VILA DA PENHA,AVENIDA BRAZ DE PINA PROXIMO AO Nº 1345 - SENTIDO ESTRADA DA AGUA GRANDE - FX 2,-22.8404343733,-43.3065957457
190251121,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO BOTAFOGO - FX 1,-22.9132950008,-43.1734630006
190251122,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO BOTAFOGO - FX 2,-22.9132950008,-43.1734630006
190251123,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO BOTAFOGO - FX 3,-22.9132950008,-43.1734630006
190251124,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO BOTAFOGO - FX 4,-22.9132950008,-43.1734630006
